Rank,Time,"Surname, first name"
138,29:12:40 h,"Bannwarth, Claire"
139,29:13:27 h,"Lesniak, Michal"
140,29:14:31 h,"Cheung, Man-Yee"
141,29:15:39 h,"Grifgnee, Christophe"
142,29:18:51 h,"Coutty, Yann"
143,29:19:54 h,"Johnstone, Shane"
144,29:24:06 h,"Adam, Romain"
145,29:25:37 h,"Barrett, Luke"
146,29:26:18 h,"Lehkonen, Henri"
147,29:26:54 h,"Wright, Katie"
148,29:28:18 h,"Coubrough, Benn"
149,29:29:55 h,"Antoine, Samuel"
150,29:29:57 h,"Basham, Amanda Nicole"
150,29:29:57 h,"Daniels, Matt"
152,29:30:39 h,"Robin, Philippe"
153,29:31:36 h,"Hernandez Sesma, Lucas"
154,29:31:54 h,"Ioannou, Giorgos"
155,29:34:06 h,"Leblanc, Romain"
156,29:34:29 h,"Kuschmierz, Felix"
157,29:34:32 h,"Ferrieres, Remi"
158,29:36:00 h,"Mettetal, Julien"
159,29:37:10 h,"Dammann, Moritz"
160,29:37:59 h,"Sanchez Garcia, Esteban"
161,29:38:23 h,"Crellin, Alexis"
162,29:39:39 h,"Guillome, Emmanuel"
163,29:39:42 h,"Guillome, Olivier"
164,29:39:49 h,"Baron, Alexis"
165,29:39:57 h,"Bour, Guillaume"
166,29:46:01 h,"Chen, Rong-Rong"
167,29:46:55 h,"Gari, Jorge"
168,29:53:59 h,"Guerra Perez, Cristian"
169,29:55:41 h,"Trovatelli, Dario"
170,29:57:04 h,"Verna, Alexandre"
171,29:57:27 h,"Pinyol Masana, Jordi"
172,29:58:57 h,"Lüthi, Hanspeter"
173,30:08:13 h,"Zimmer, Julien"
174,30:21:21 h,"Busolini, Adrian"
175,30:23:18 h,"Ward, Dave"
176,30:27:25 h,"Gieschke, Patrick"
177,30:29:10 h,"Fuentes Rivera, Hector"
178,30:31:06 h,"Mougin, Eric"
179,30:31:24 h,"Howland, Philip"
180,30:33:06 h,"Cochet, Damien"
181,30:36:08 h,"Quere, Guillaume"
182,30:37:42 h,"Augusto dos Santos, Daniel"
183,30:39:20 h,"Demare, Romain"
184,30:40:35 h,"Massat, Daniel"
185,30:41:51 h,"Marron, Pierre"
186,30:42:53 h,"Wong, Ka-Kit"
187,30:43:21 h,"Frigon, Samuel"
188,30:47:06 h,"Weidman, William"
189,30:48:02 h,"Borgersen, Elisabeth"
190,30:56:22 h,"Lebettre, Francois"
191,30:58:33 h,"Evers, Steven"
192,30:59:44 h,"Bouchet, Antoine"
193,31:02:24 h,"Kaszuba, Michal"
194,31:05:06 h,"Romero, Frederic"
195,31:05:14 h,"Cali, Vivien"
196,31:05:25 h,"Bertelle, Alessandro"
197,31:06:20 h,"Vila, Jaime"
198,31:09:26 h,"Monteiro, Vasco"
199,31:11:18 h,"Martins, Antonio"
200,31:12:02 h,"Dubreuil, Kevin"
201,31:14:06 h,"Lewis-Tremblay, Brandon"
202,31:16:05 h,"Matsuda, Hiroyuki"
203,31:21:04 h,"Escudero Miquel, Jordi"
204,31:22:35 h,"Gutierrez Arriola, Lope"
205,31:23:10 h,"Istina, Andrei"
206,31:23:42 h,"Jonsson, Thomas"
207,31:25:07 h,"Collignon, Jean-Remi"
208,31:25:21 h,"Gonzalez Llera, David"
209,31:25:30 h,"Sarrade-Loucheur, Benjamin"
210,31:26:15 h,"Buzoi, Tudorel"
211,31:28:17 h,"Sanchez Parra, Felix"
212,31:28:26 h,"Isaksson, Oscar"
213,31:30:36 h,"Molyneaux, Michael"
214,31:30:39 h,"Ngaka, Chris"
215,31:31:20 h,"Tinucci, Jack"
216,31:32:02 h,"Galeano Cruz, Gilmer"
217,31:32:32 h,"Rios Peredo, Elisabeth"
218,31:33:52 h,"Miao, David"
219,31:34:24 h,"Farrell, Lonan O."
220,31:34:26 h,"Hand, Sam"
221,31:36:59 h,"Yamada, Yosuke"
222,31:37:09 h,"Miles, James"
223,31:37:35 h,"Ramajo Farre, Ruben"
224,31:37:55 h,"Adams, John"
225,31:38:11 h,"Soler Jimenez, Maria Victoria"
226,31:39:43 h,"Schuller, Peter"
226,31:39:43 h,"Ionce, Florin Adrian"
228,31:42:02 h,"Bonilla Jimenez, Francisco Luis"
229,31:43:05 h,"Fagnoni, Basile"
230,31:45:05 h,"Marteau, Clement"
231,31:46:36 h,"Bernasconi, Celine"
232,31:48:07 h,"Godefroid, Emmanuel"
233,31:48:12 h,"Bourgeteau, Guillaume"
234,31:49:58 h,"Flores Hernandez, Dani"
235,31:50:04 h,"Sciarretta, Christian"
236,31:50:09 h,"Requena Osete, Jordi"
237,31:50:51 h,"Vogel, Mark"
238,31:52:39 h,"Benci, Michael"
239,31:53:52 h,"Fernandez Canego, Angel"
240,31:56:02 h,"Tissot, Florian"
241,31:56:22 h,"de Riz, Francesco"
242,31:57:08 h,"Simantrakou, Despoina"
243,31:57:47 h,"Radu, Andrei-Marius"
244,31:58:53 h,"Maurin, Florent"
245,31:58:55 h,"Barale, Laura"
246,31:59:10 h,"Mateo, Fabrice"
247,31:59:20 h,"Cazorla, Julien"
248,31:59:27 h,"Evans, Luke"
249,32:02:03 h,"Plisson, Geoffrey"
250,32:03:07 h,"Straßer, Vadym"
251,32:04:28 h,"Wilken, Shari"
252,32:05:31 h,"Bielby, William"
253,32:07:34 h,"Tsukuda, Naoki"
254,32:08:18 h,"Lernout, Mathieu"
255,32:09:26 h,"Pilley, Morgan"
256,32:09:45 h,"Noren, Andreas"
257,32:14:32 h,"Romulus, Benoit"
258,32:15:29 h,"Januel, Etienne"
259,32:15:55 h,"Regnault, Maxime"
260,32:16:56 h,"Farque, Alix Anne"
261,32:18:01 h,"Leconte, Fabien"
262,32:22:28 h,"van der Veen, Eva Leonoor"
263,32:22:43 h,"Calderon Jare, Luis Fernando"
264,32:22:51 h,"Sanchez del Pino, Antonio"
265,32:23:55 h,"Locatelli, Ernesto"
266,32:23:56 h,"Le Rouzic, Mikael"
267,32:25:06 h,"Lagarde, Sebastien"
268,32:25:26 h,"Vlasakova, Andrea"
269,32:26:08 h,"Poskin, Brady"
270,32:29:15 h,"Hadjali, Adele"
271,32:32:28 h,"Garcia Sitjar, Manuel Guillermo"
272,32:35:41 h,"Ricard, Stephane"
273,32:36:22 h,"Jalmin, Loic"
274,32:37:57 h,"Suda, Yuta"
275,32:40:59 h,"File, Balazs"
276,32:41:15 h,"Herrero Arranz, Ruben"
277,32:41:57 h,"Mongay Monteso, Pere"
278,32:44:30 h,"Grosjean, Arnaud"
279,32:45:11 h,"Howell, Shannon"
280,32:47:00 h,"Martinez Herrera, Leire"
281,32:47:13 h,"Thiery, Benoit"
282,32:48:07 h,"Matous, Michal"
283,32:48:48 h,"Regehr, Bentley"
284,32:48:51 h,"Nordlöf, Tomas"
285,32:49:10 h,"Hendel, Ulrich"
286,32:49:13 h,"Rozan, Joseph"
287,32:49:14 h,"Harrington, Christopher"
288,32:50:45 h,"Khrapko, Serhii"
289,32:51:10 h,"Gantes De Diego, Ivan"
290,32:51:25 h,"Fauvi, Anthony"
291,32:52:12 h,"Piittinen, Matti"
292,32:52:27 h,"Grumbinas, Ramunas"
293,32:52:34 h,"Ollive, Clement"
294,32:52:35 h,"Swanson, Adam"
295,32:53:34 h,"Dris Maanan, Omar"
296,32:55:36 h,"Cornuau, Damien"
297,33:02:36 h,"Redier, David"
298,33:04:38 h,"Thollet, Jerome"
299,33:06:11 h,"Imhoff, Kyle"
300,33:09:14 h,"Boujon, Loic"
301,33:09:52 h,"de Schouwer, Senne"
302,33:11:26 h,"Angot, Xavier"
303,33:12:56 h,"Yan, Chi-Yee (Angie)"
304,33:14:08 h,"Wisniewski, Pawel"
305,33:14:43 h,"Syse, Bjorn"
306,33:15:30 h,"Ståhlkloo, Anna"
306,33:15:30 h,"Dermody, Matthew"
308,33:15:39 h,"Orders, Nathaniel"
309,33:15:41 h,"Zych, Katarzyna"
310,33:16:09 h,"Maize, Ryan"
311,33:17:03 h,"Vomocil, Michal"
312,33:17:30 h,"Bouyer, Michael"
313,33:17:54 h,"Bernard, Yannick"
314,33:18:57 h,"Feutrie, Louis"
315,33:19:37 h,"Goad, Ralf"
316,33:19:43 h,"Beckmann, Alexander"
317,33:20:54 h,"Dessauvages, Julien"
318,33:24:04 h,"Gaetani, Matteo"
319,33:27:53 h,"Kuroda, Takuya"
320,33:29:38 h,"Raimondo, Franck"
321,33:30:59 h,"Adelantado Guitart, Eleuteri"
322,33:31:42 h,"Kohakura, Yohei"
323,33:31:45 h,"Oromi Torrent, Josep"
324,33:33:38 h,"Schenone, Kyle"
325,33:34:48 h,"Andersson, Oscar"
326,33:35:11 h,"Kulicki, Lukasz"
327,33:35:23 h,"Fos Llopart, Francesc"
328,33:36:29 h,"Lores Meis, Jose Manuel"
329,33:38:35 h,"Gnemmi, Julien"
330,33:38:58 h,"Pertl, Hannes"
